C-17 POPULATION BY BILINGUALISM AND TRILINGUALISM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State,State name,Total speakers of languages,,,,,Number of speakers speaking subsidiary languages      (1st language),,,,,Number of speakers speaking subsidiary languages      (2nd language),,,,
Code,,Code,Name,Persons,Males,Females,Code,1 st subsidiary languages,Persons,Males,Females,Code,2nd subsidiary languages,Persons,Males,Females
00,INDIA,,,,,,,,,,,006000,HINDI ,17,10,7
00,INDIA,,,,,,,,,,,013000,MARATHI ,1,1,0
00,INDIA,,,,,,,,,,,015000,ODIA ,4,2,2
00,INDIA,,,,,,,,,,,040000,ENGLISH ,2,1,1
00,INDIA,,,,,,010000,MAITHILI ,590,311,279,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,82,39,43
00,INDIA,,,,,,,,,,,014000,NEPALI ,1,0,1
00,INDIA,,,,,,,,,,,044000,GONDI,2,1,1
00,INDIA,,,,,,011000,MALAYALAM,323,221,102,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,1,0,1
00,INDIA,,,,,,,,,,,006000,HINDI ,53,38,15
00,INDIA,,,,,,,,,,,021000,TELUGU ,1,0,1
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,1,0,1
00,INDIA,,,,,,,,,,,040000,ENGLISH ,15,8,7
00,INDIA,,,,,,,,,,,087000,MIRI/MISHING,1,0,1
00,INDIA,,,,,,012000,MANIPURI ,1120,610,510,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,29,15,14
00,INDIA,,,,,,,,,,,003000,BODO ,2,2,0
00,INDIA,,,,,,,,,,,006000,HINDI ,308,182,126
00,INDIA,,,,,,,,,,,014000,NEPALI ,3,2,1
00,INDIA,,,,,,,,,,,039000,DIMASA ,1,1,0
00,INDIA,,,,,,,,,,,040000,ENGLISH ,61,37,24
00,INDIA,,,,,,,,,,,087000,MIRI/MISHING,2,0,2
00,INDIA,,,,,,,,,,,119000,WANCHO,1,1,0
00,INDIA,,,,,,,,,,,124000,OTHERS,2,1,1
00,INDIA,,,,,,013000,MARATHI ,978,601,377,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,29,14,15
00,INDIA,,,,,,,,,,,003000,BODO ,1,1,0
00,INDIA,,,,,,,,,,,005000,GUJARATI,2,2,0
00,INDIA,,,,,,,,,,,006000,HINDI ,249,174,75
00,INDIA,,,,,,,,,,,014000,NEPALI ,2,1,1
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,1,0,1
00,INDIA,,,,,,,,,,,022000,URDU,1,1,0
00,INDIA,,,,,,,,,,,040000,ENGLISH ,46,25,21
00,INDIA,,,,,,,,,,,124000,OTHERS,4,3,1
00,INDIA,,,,,,014000,NEPALI ,51540,26869,24671,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,1280,750,530
00,INDIA,,,,,,,,,,,003000,BODO ,169,121,48
00,INDIA,,,,,,,,,,,005000,GUJARATI,1,1,0
00,INDIA,,,,,,,,,,,006000,HINDI ,16152,9629,6523
00,INDIA,,,,,,,,,,,007000,KANNADA,1,1,0
00,INDIA,,,,,,,,,,,012000,MANIPURI ,6,4,2
00,INDIA,,,,,,,,,,,015000,ODIA ,29,15,14
00,INDIA,,,,,,,,,,,016000,PUNJABI ,2,0,2
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,5,4,1
00,INDIA,,,,,,,,,,,018000,SANTALI ,10,6,4
00,INDIA,,,,,,,,,,,020000,TAMIL ,3,3,0
00,INDIA,,,,,,,,,,,021000,TELUGU ,1,0,1
00,INDIA,,,,,,,,,,,022000,URDU,1,1,0
00,INDIA,,,,,,,,,,,023000,ADI ,3,3,0
00,INDIA,,,,,,,,,,,027000,AO ,4,0,4
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,2,1,1
00,INDIA,,,,,,,,,,,031000,BHOTIA ,1,1,0
00,INDIA,,,,,,,,,,,032000,BHUMIJ ,1,1,0
00,INDIA,,,,,,,,,,,038000,DEORI ,2,1,1
00,INDIA,,,,,,,,,,,040000,ENGLISH ,749,446,303
00,INDIA,,,,,,,,,,,043000,GARO ,25,15,10
00,INDIA,,,,,,,,,,,048000,HO,1,0,1
00,INDIA,,,,,,,,,,,052000,KARBI/MIKIR ,33,26,7
00,INDIA,,,,,,,,,,,055000,KHASI ,13,9,4
00,INDIA,,,,,,,,,,,072000,KURUKH/ORAON ,6,2,4
00,INDIA,,,,,,,,,,,077000,LALUNG ,2,1,1
00,INDIA,,,,,,,,,,,087000,MIRI/MISHING,42,27,15
00,INDIA,,,,,,,,,,,091000,MUNDA,6,3,3
00,INDIA,,,,,,,,,,,092000,MUNDARI ,2,2,0
00,INDIA,,,,,,,,,,,102000,RABHA ,2,1,1
00,INDIA,,,,,,,,,,,107000,SEMA,2,0,2
00,INDIA,,,,,,,,,,,111000,TAMANG ,9,6,3
00,INDIA,,,,,,,,,,,113000,TANGSA,1,1,0
00,INDIA,,,,,,,,,,,116000,TRIPURI ,1,1,0
00,INDIA,,,,,,,,,,,124000,OTHERS,142,68,74
00,INDIA,,,,,,015000,ODIA ,37529,18420,19109,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,812,410,402
00,INDIA,,,,,,,,,,,003000,BODO ,9,3,6
00,INDIA,,,,,,,,,,,005000,GUJARATI,16,9,7
00,INDIA,,,,,,,,,,,006000,HINDI ,9746,5395,4351
00,INDIA,,,,,,,,,,,010000,MAITHILI ,2,1,1
00,INDIA,,,,,,,,,,,012000,MANIPURI ,1,0,1
00,INDIA,,,,,,,,,,,014000,NEPALI ,23,10,13
00,INDIA,,,,,,,,,,,018000,SANTALI ,9,5,4
00,INDIA,,,,,,,,,,,021000,TELUGU ,4,3,1
00,INDIA,,,,,,,,,,,022000,URDU,2,0,2
00,INDIA,,,,,,,,,,,032000,BHUMIJ ,27,10,17
00,INDIA,,,,,,,,,,,040000,ENGLISH ,152,95,57
00,INDIA,,,,,,,,,,,052000,KARBI/MIKIR ,3,3,0
00,INDIA,,,,,,,,,,,070000,KUI ,1,0,1
00,INDIA,,,,,,,,,,,071000,KUKI,1,0,1
00,INDIA,,,,,,,,,,,077000,LALUNG ,1,1,0
00,INDIA,,,,,,,,,,,091000,MUNDA,31,16,15
00,INDIA,,,,,,,,,,,106000,SAVARA,2,1,1
00,INDIA,,,,,,,,,,,124000,OTHERS,42,22,20
00,INDIA,,,,,,016000,PUNJABI ,645,331,314,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,25,17,8
00,INDIA,,,,,,,,,,,006000,HINDI ,203,110,93
00,INDIA,,,,,,,,,,,011000,MALAYALAM,1,1,0
00,INDIA,,,,,,,,,,,014000,NEPALI ,3,3,0
00,INDIA,,,,,,,,,,,022000,URDU,1,0,1
00,INDIA,,,,,,,,,,,040000,ENGLISH ,27,13,14
00,INDIA,,,,,,,,,,,043000,GARO ,1,1,0
00,INDIA,,,,,,,,,,,124000,OTHERS,1,1,0
00,INDIA,,,,,,017000,SANSKRIT ,2167,1472,695,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,23,20,3
00,INDIA,,,,,,,,,,,006000,HINDI ,727,460,267
00,INDIA,,,,,,,,,,,014000,NEPALI ,6,6,0
00,INDIA,,,,,,,,,,,031000,BHOTIA ,1,0,1
00,INDIA,,,,,,,,,,,040000,ENGLISH ,436,288,148
00,INDIA,,,,,,,,,,,124000,OTHERS,4,2,2
00,INDIA,,,,,,018000,SANTALI ,2678,1415,1263,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,24,13,11
00,INDIA,,,,,,,,,,,003000,BODO ,4,2,2
00,INDIA,,,,,,,,,,,006000,HINDI ,451,277,174
00,INDIA,,,,,,,,,,,014000,NEPALI ,16,12,4
00,INDIA,,,,,,,,,,,015000,ODIA ,2,1,1
00,INDIA,,,,,,,,,,,040000,ENGLISH ,5,5,0
00,INDIA,,,,,,,,,,,102000,RABHA ,1,0,1
00,INDIA,,,,,,,,,,,124000,OTHERS,5,4,1
00,INDIA,,,,,,019000,SINDHI,1614,812,802,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,787,410,377
00,INDIA,,,,,,,,,,,006000,HINDI ,20,13,7
00,INDIA,,,,,,,,,,,022000,URDU,1,0,1
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,1,1,0
00,INDIA,,,,,,,,,,,040000,ENGLISH ,5,5,0
00,INDIA,,,,,,,,,,,124000,OTHERS,1,1,0
00,INDIA,,,,,,020000,TAMIL ,341,240,101,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,6,5,1
00,INDIA,,,,,,,,,,,006000,HINDI ,37,27,10
00,INDIA,,,,,,,,,,,007000,KANNADA,5,5,0
00,INDIA,,,,,,,,,,,014000,NEPALI ,1,1,0
00,INDIA,,,,,,,,,,,021000,TELUGU ,6,3,3
00,INDIA,,,,,,,,,,,022000,URDU,1,1,0
00,INDIA,,,,,,,,,,,040000,ENGLISH ,34,23,11
00,INDIA,,,,,,,,,,,124000,OTHERS,1,1,0
